archetype,metaRating,height,weight,skillMoves,weakFoot,attributeAcceleration,attributeSprintSpeed,attributePositioning,attributeFinishing,attributeShotPower,attributeLongShots,attributeVolleys,attributePenalties,attributeVision,attributeCrossing,attributeFkAccuracy,attributeShortPassing,attributeLongPassing,attributeCurve,attributeAgility,attributeBalance,attributeReactions,attributeBallControl,attributeDribbling,attributeComposure,attributeInterceptions,attributeHeadingAccuracy,attributeDefensiveAwareness,attributeStandingTackle,attributeSlidingTackle,attributeJumping,attributeStamina,attributeStrength,attributeAggression,Finesse Shot,Chip Shot,Power Shot,Dead Ball,Power Header,Low Driven Shot,Incisive Pass,Pinged Pass,Long Ball Pass,Tiki Taka,Whipped Pass,Jockey,Block,Intercept,Anticipate,Slide Tackle,Bruiser,Technical,Rapid,Flair,First Touch,Trickster,Press Proven,Quick Step,Relentless,Trivela,Acrobatic,Long Throw,Aerial,accelerateType_EXPLOSIVE,accelerateType_MOSTLY_EXPLOSIVE,accelerateType_CONTROLLED_EXPLOSIVE,accelerateType_CONTROLLED,accelerateType_CONTROLLED_LENGTHY,accelerateType_MOSTLY_LENGTHY,accelerateType_LENGTHY,bodytype_Lean Medium,bodytype_Average Medium,bodytype_Stocky Medium,bodytype_Lean Tall,bodytype_Average Tall,bodytype_Stocky Tall,bodytype_Lean Short,bodytype_Average Short,bodytype_Stocky Short,bodytype_Unique
poacher,94.40763799684211,164,58,4,5,97,98,96,97,95,91,91,86,82,81,80,97,83,82,93,92,97,99,99,90,52,90,48,50,47,96,97,95,80,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
box_to_box,93.92774466872093,162,53,4,5,91,90,97,97,87,95,75,75,98,85,86,99,99,86,99,92,97,97,98,91,95,61,86,89,76,84,92,84,72,2,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
playmaker,94.48853530688828,162,53,4,5,91,90,97,97,87,95,75,75,98,85,86,99,99,86,99,92,97,97,98,91,95,61,86,89,76,84,92,84,72,2,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
wide_midfielder,92.74752299222278,167,60,4,5,96,96,97,93,92,92,70,78,95,99,88,93,91,85,99,97,96,93,92,96,76,58,70,70,65,80,97,67,68,2,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
inside_forward,92.65198560012608,167,60,4,5,96,96,97,93,92,92,70,78,95,99,88,93,91,85,99,97,96,93,92,96,76,58,70,70,65,80,97,67,68,2,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
holding,83.79846242612406,173,69,5,5,87,88,95,96,92,94,95,95,96,94,95,96,96,95,95,94,96,98,96,98,86,82,67,90,70,91,91,87,75,2,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
playmaker,93.96717866566189,173,69,5,5,87,88,95,96,92,94,95,95,96,94,95,96,96,95,95,94,96,98,96,98,86,82,67,90,70,91,91,87,75,2,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
defender,96.22296749235541,193,92,3,3,83,91,52,58,90,71,50,69,80,60,78,88,95,70,70,70,93,82,75,95,95,94,97,98,95,96,85,99,97,0,0,0,0,1,0,0,1,1,0,0,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ball_playing_defender,91.14742336102742,193,92,3,3,83,91,52,58,90,71,50,69,80,60,78,88,95,70,70,70,93,82,75,95,95,94,97,98,95,96,85,99,97,0,0,0,0,1,0,0,1,1,0,0,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
stopper,93.24137590756499,193,92,3,3,83,91,52,58,90,71,50,69,80,60,78,88,95,70,70,70,93,82,75,95,95,94,97,98,95,96,85,99,97,0,0,0,0,1,0,0,1,1,0,0,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
classic_ten,92.84384603901087,180,71,5,5,94,92,96,96,88,93,96,90,96,88,86,95,90,95,94,86,96,97,96,95,46,67,45,37,41,70,85,76,74,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
shadow_striker,92.85987483886744,180,71,5,5,94,92,96,96,88,93,96,90,96,88,86,95,90,95,94,86,96,97,96,95,46,67,45,37,41,70,85,76,74,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
playmaker,90.81526143989079,180,71,5,5,94,92,96,96,88,93,96,90,96,88,86,95,90,95,94,86,96,97,96,95,46,67,45,37,41,70,85,76,74,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
false_nine,93.84189110187037,173,70,5,4,94,94,96,97,94,93,95,92,96,90,88,95,87,88,93,92,97,96,95,97,67,95,56,52,50,88,87,80,70,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
shadow_striker,94.19106571195708,173,70,5,4,94,94,96,97,94,93,95,92,96,90,88,95,87,88,93,92,97,96,95,97,67,95,56,52,50,88,87,80,70,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
playmaker,91.19488354380607,173,70,5,4,94,94,96,97,94,93,95,92,96,90,88,95,87,88,93,92,97,96,95,97,67,95,56,52,50,88,87,80,70,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
playmaker,89.95736148703119,185,77,5,5,87,85,92,91,91,94,93,91,98,94,92,98,97,89,83,87,96,98,98,98,86,89,66,79,68,75,88,88,79,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
classic_ten,92.55380326838812,165,70,5,5,94,90,93,95,87,92,88,94,96,90,94,91,90,96,91,96,94,97,98,96,46,70,30,42,40,84,81,80,80,2,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
shadow_striker,93.62758223814535,165,70,5,5,94,90,93,95,87,92,88,94,96,90,94,91,90,96,91,96,94,97,98,96,46,70,30,42,40,84,81,80,80,2,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
playmaker,90.83605314838117,165,70,5,5,94,90,93,95,87,92,88,94,96,90,94,91,90,96,91,96,94,97,98,96,46,70,30,42,40,84,81,80,80,2,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
inside_forward,93.96464564660832,182,75,5,4,99,99,97,98,94,90,89,88,88,85,74,91,80,85,97,90,97,97,98,93,45,87,31,41,38,95,95,84,70,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
advanced_forward,96.70031615104682,182,75,5,4,99,99,97,98,94,90,89,88,88,85,74,91,80,85,97,90,97,97,98,93,45,87,31,41,38,95,95,84,70,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
false_nine,94.21170150947786,182,75,5,4,99,99,97,98,94,90,89,88,88,85,74,91,80,85,97,90,97,97,98,93,45,87,31,41,38,95,95,84,70,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
inside_forward,93.5833761482728,175,72,5,4,97,96,96,96,92,92,91,90,93,90,78,94,88,92,96,96,98,94,96,96,70,76,47,55,52,87,96,81,75,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
advanced_forward,93.44219179717541,175,72,5,4,97,96,96,96,92,92,91,90,93,90,78,94,88,92,96,96,98,94,96,96,70,76,47,55,52,87,96,81,75,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
inside_forward,91.79063515592429,175,77,5,4,98,98,92,92,95,90,80,79,91,99,82,87,87,91,92,90,92,99,99,90,51,84,38,55,48,96,90,99,82,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
half_winger,89.40637492374354,175,77,5,4,98,98,92,92,95,90,80,79,91,99,82,87,87,91,92,90,92,99,99,90,51,84,38,55,48,96,90,99,82,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
false_nine,89.29156467734761,180,70,4,5,91,90,98,98,97,93,85,83,90,75,66,90,87,75,80,80,94,95,90,95,34,99,30,40,28,98,93,98,85,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
target_forward,89.063992417798,180,70,4,5,91,90,98,98,97,93,85,83,90,75,66,90,87,75,80,80,94,95,90,95,34,99,30,40,28,98,93,98,85,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
poacher,92.07998653306626,180,70,4,5,91,90,98,98,97,93,85,83,90,75,66,90,87,75,80,80,94,95,90,95,34,99,30,40,28,98,93,98,85,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
defender,93.63476533870003,193,85,2,4,88,91,52,42,72,28,42,58,80,66,40,92,86,65,70,70,92,90,81,93,94,86,96,99,93,95,85,96,93,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
ball_playing_defender,90.13238989717594,193,85,2,4,88,91,52,42,72,28,42,58,80,66,40,92,86,65,70,70,92,90,81,93,94,86,96,99,93,95,85,96,93,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
stopper,90.78499644539058,193,85,2,4,88,91,52,42,72,28,42,58,80,66,40,92,86,65,70,70,92,90,81,93,94,86,96,99,93,95,85,96,93,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
attacking_wingback,93.56561680282758,160,55,5,4,98,97,93,63,86,86,67,80,84,98,75,95,90,90,97,95,91,95,96,95,96,74,92,96,92,85,96,68,88,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
fullback,92.81148250293327,160,55,5,4,98,97,93,63,86,86,67,80,84,98,75,95,90,90,97,95,91,95,96,95,96,74,92,96,92,85,96,68,88,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
falseback,94.90860747475712,160,55,5,4,98,97,93,63,86,86,67,80,84,98,75,95,90,90,97,95,91,95,96,95,96,74,92,96,92,85,96,68,88,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
defender,93.45908302748317,187,70,3,3,86,86,77,70,88,66,61,74,75,64,63,90,90,75,70,70,96,80,75,94,97,99,99,99,88,86,80,98,96,0,0,0,0,1,0,0,0,2,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ball_playing_defender,89.79497317934211,187,70,3,3,86,86,77,70,88,66,61,74,75,64,63,90,90,75,70,70,96,80,75,94,97,99,99,99,88,86,80,98,96,0,0,0,0,1,0,0,0,2,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
stopper,90.89263011137731,187,70,3,3,86,86,77,70,88,66,61,74,75,64,63,90,90,75,70,70,96,80,75,94,97,99,99,99,88,86,80,98,96,0,0,0,0,1,0,0,0,2,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
inside_forward,92.93964414394775,180,78,5,5,96,93,91,94,89,91,84,88,95,92,94,94,88,92,96,93,94,97,98,96,34,57,40,43,34,88,87,86,71,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
playmaker,90.3027136894308,180,78,5,5,96,93,91,94,89,91,84,88,95,92,94,94,88,92,96,93,94,97,98,96,34,57,40,43,34,88,87,86,71,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
advanced_forward,93.87629269291128,175,76,4,5,93,94,96,95,95,96,95,95,90,88,90,88,86,85,96,94,96,91,98,96,43,94,45,43,37,87,92,78,78,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
false_nine,92.91915936804642,175,76,4,5,93,94,96,95,95,96,95,95,90,88,90,88,86,85,96,94,96,91,98,96,43,94,45,43,37,87,92,78,78,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
target_forward,80.20586863869352,175,76,4,5,93,94,96,95,95,96,95,95,90,88,90,88,86,85,96,94,96,91,98,96,43,94,45,43,37,87,92,78,78,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
attacking_wingback,89.67230281390596,173,73,4,4,93,94,86,80,83,70,71,61,86,90,51,92,83,82,90,90,95,94,90,92,95,90,93,97,95,93,94,80,94,0,0,0,0,0,0,0,0,2,0,1,2,1,1,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
wingback,91.33032102432108,173,73,4,4,93,94,86,80,83,70,71,61,86,90,51,92,83,82,90,90,95,94,90,92,95,90,93,97,95,93,94,80,94,0,0,0,0,0,0,0,0,2,0,1,2,1,1,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
falseback,91.26254308114409,173,73,4,4,93,94,86,80,83,70,71,61,86,90,51,92,83,82,90,90,95,94,90,92,95,90,93,97,95,93,94,80,94,0,0,0,0,0,0,0,0,2,0,1,2,1,1,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
advanced_forward,92.87324912522271,183,78,5,5,96,95,96,98,94,89,96,89,81,73,89,85,74,86,90,84,95,95,97,90,41,85,37,41,36,80,82,84,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
poacher,91.23492806472265,183,78,5,5,96,95,96,98,94,89,96,89,81,73,89,85,74,86,90,84,95,95,97,90,41,85,37,41,36,80,82,84,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
shadow_striker,91.61603458654842,173,70,5,4,93,93,95,96,93,92,94,91,95,88,87,94,86,87,92,91,96,95,94,96,65,92,54,50,47,86,85,74,57,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
playmaker,86.44483794941893,165,70,5,3,92,88,92,94,86,91,87,93,95,88,93,90,89,95,90,95,93,96,97,95,45,67,28,41,38,82,78,75,77,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
advanced_forward,92.40676556423168,195,94,5,5,85,98,99,99,99,89,95,95,85,67,71,87,76,89,88,87,99,88,87,94,47,89,42,51,33,97,84,98,93,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
target_forward,92.08479297977223,195,94,5,5,85,98,99,99,99,89,95,95,85,67,71,87,76,89,88,87,99,88,87,94,47,89,42,51,33,97,84,98,93,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
poacher,91.60393431149608,195,94,5,5,85,98,99,99,99,89,95,95,85,67,71,87,76,89,88,87,99,88,87,94,47,89,42,51,33,97,84,98,93,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
advanced_forward,88.83973824982411,195,94,4,4,85,98,99,99,98,87,94,94,82,64,68,84,73,86,88,87,99,88,87,94,47,90,42,51,33,96,83,97,92,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
target_forward,89.13935214165946,195,94,4,4,85,98,99,99,98,87,94,94,82,64,68,84,73,86,88,87,99,88,87,94,47,90,42,51,33,96,83,97,92,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
poacher,88.18297842914312,195,94,4,4,85,98,99,99,98,87,94,94,82,64,68,84,73,86,88,87,99,88,87,94,47,90,42,51,33,96,83,97,92,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
wide_midfielder,91.33907898027057,175,72,5,4,94,94,95,94,87,88,87,85,92,88,76,93,85,91,95,95,97,93,95,95,68,75,46,54,51,86,95,80,70,2,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
inside_forward,91.60681350817268,175,72,5,4,94,94,95,94,87,88,87,85,92,88,76,93,85,91,95,95,97,93,95,95,68,75,46,54,51,86,95,80,70,2,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
inside_forward,93.47960554213427,182,75,5,4,99,99,97,98,94,87,88,88,88,83,74,91,76,85,97,86,97,96,97,92,42,80,30,38,36,94,94,83,69,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
advanced_forward,95.63881654164668,182,75,5,4,99,99,97,98,94,87,88,88,88,83,74,91,76,85,97,86,97,96,97,92,42,80,30,38,36,94,94,83,69,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
false_nine,92.95383484738998,182,75,5,4,99,99,97,98,94,87,88,88,88,83,74,91,76,85,97,86,97,96,97,92,42,80,30,38,36,94,94,83,69,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
advanced_forward,92.6746635905385,188,86,4,5,90,90,99,99,99,94,94,98,93,87,76,93,95,89,86,86,99,94,90,98,47,98,51,51,43,93,85,92,86,2,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
